B1,B2,B3,B4
0.183,-0.112,0.134,0.044
-0.017,0.1,0.12,-0.027
-0.146,-0.042,-0.122,-0.061
-0.032,-0.095,-0.046,0
0.068,-0.1,-0.017,0.007
0.127,-0.063,0.156,0.042
-0.029,-0.029,0.173,0.037
-0.234,-0.063,0.139,-0.02
-0.098,-0.078,-0.042,-0.015
0.225,-0.154,-0.156,0
0.122,0.042,0.01,0.005
-0.063,0.002,0.134,-0.01
-0.012,0.046,0.171,0.02
0.027,0.051,-0.012,-0.012
0.09,0.039,-0.022,0.081
0.024,0.193,0.039,0.042
0.083,0.081,0.027,-0.02
0.117,0.212,0.112,-0.037
0.078,0.051,0.037,-0.051
-0.046,0.051,-0.066,-0.044
-0.088,0.027,-0.034,0.01
0.005,0.012,-0.046,0.039
0.137,-0.044,0.068,0.039
0.12,-0.056,-0.037,0.051
-0.024,0.032,-0.208,0.054
-0.083,-0.122,-0.012,0.034
0.01,-0.039,0.049,0.1
0.11,-0.1,0.007,0.051
0.015,-0.054,0.01,-0.024
-0.039,-0.129,-0.02,-0.012
-0.002,-0.054,-0.129,0.022
0.017,-0.022,0.007,0.071
-0.024,-0.249,-0.073,0.042
0.066,-0.002,-0.129,-0.029
0.151,0.054,-0.139,-0.012
0.164,0.081,-0.076,0.039
0.112,0.037,-0.022,0.042
0.029,-0.09,-0.005,-0.039
-0.034,-0.022,-0.056,-0.039
-0.02,0.034,-0.186,-0.059
0.063,-0.117,-0.042,0.039
0.059,0.037,0.071,-0.012
0.073,-0.09,0.073,-0.005
-0.073,-0.063,0.02,-0.024
-0.012,0.051,0.071,-0.015
0.168,-0.051,-0.002,0.039
0.066,-0.039,0.061,0.078
-0.125,-0.073,-0.015,0.012
-0.034,-0.034,-0.088,-0.056
0.164,-0.002,-0.02,-0.027
0.117,0.024,0.007,0.007
0.022,0.105,-0.017,0.042
0.007,-0.078,-0.176,-0.01
0.098,0.007,-0.044,-0.024
0.071,0.046,0.005,0.02
0.151,0.061,-0.083,-0.02
0.081,-0.02,-0.212,0.012
0.039,-0.032,-0.081,0.015
0.032,0.212,-0.039,0.061
0.012,-0.027,0.039,0.012
-0.12,-0.154,-0.051,0.046
0.034,0,-0.054,-0.037
0.095,0.088,0.032,0.007
-0.063,0.02,-0.024,0.09
-0.1,-0.146,-0.095,0.085
-0.083,-0.024,0.029,0.007
0.007,-0.044,0.122,0.01
-0.017,-0.107,-0.007,0.02
-0.042,-0.154,0.002,0.049
-0.049,0.044,0.01,0.002
-0.09,0.076,0.132,-0.034
-0.002,-0.059,-0.044,-0.051
0.098,0.061,-0.066,-0.039
0.022,0.002,-0.02,0.005
0.054,0.022,0.063,0.046
-0.002,-0.024,0.107,-0.042
0,-0.051,-0.164,-0.051
-0.029,0.027,-0.386,-0.073
0.024,0.083,0.723,0.012
-0.02,0.088,-0.049,-0.015
-0.039,0.046,-0.532,-0.029
0.059,-0.098,0.083,-0.054
0.024,-0.132,0.149,-0.039
-0.034,-0.081,-0.103,-0.049
-0.015,-0.039,-0.166,0.027
0.024,-0.032,0.232,0.032
0.012,-0.071,0.278,0.049
0.029,-0.068,0.098,0.01
-0.051,-0.005,-0.134,0.032
-0.051,-0.024,-0.095,0.042
-0.027,-0.071,0.068,0.054
-0.024,0.037,-0.037,0.029
-0.098,0.01,-0.164,0.01
-0.081,0.083,-0.12,-0.002
0.112,0.042,0.247,0.015
0.166,-0.103,0.085,0.049
0.156,0.144,-0.095,-0.051
0.012,0.205,-0.017,-0.002
-0.063,0.071,0.115,0.063
0.122,0.015,0.049,0.034
0.083,0.063,-0.164,-0.039
-0.117,0.164,0.012,-0.081
-0.063,0.054,0.039,-0.042
0.005,-0.046,0.078,-0.005
0.029,-0.015,-0.054,0.037
-0.117,-0.032,0.125,0.039
-0.125,-0.122,0.037,-0.017
-0.078,-0.115,-0.054,-0.015
0.015,0.02,0.144,0
0.073,-0.095,0.137,0.098
-0.083,-0.112,-0.149,0.134
-0.168,0,0.063,0.015
-0.103,0.034,0.164,-0.073
0.049,-0.166,0.071,-0.032
0.029,-0.015,0.02,0.027
0.024,0.137,-0.107,0.071
-0.032,0.017,-0.042,-0.063
-0.02,0.044,-0.02,-0.046
0.037,-0.022,-0.061,-0.085
0.059,0.105,-0.085,-0.088
0.017,0.059,0.037,-0.122
-0.007,0.117,0.056,-0.046
0.015,-0.061,-0.024,-0.046
-0.024,-0.198,-0.073,-0.046
-0.029,-0.115,0.054,-0.046
-0.063,0.044,0.01,-0.037
0.056,0.054,-0.056,0.083
0.005,-0.171,0.103,0.095
-0.071,-0.112,-0.027,0.046
-0.081,-0.083,-0.054,0.017
-0.146,-0.071,0.015,-0.002
-0.015,-0.066,0.054,-0.012
0.044,0.049,0.076,0.029
-0.071,-0.012,0.083,0.071
-0.061,0.007,-0.1,0.049
0.054,0.129,-0.007,0.015
0.125,0.249,0.02,0.015
0.042,-0.217,-0.024,0.054
0.071,-0.081,-0.049,-0.007
0.1,0.217,-0.034,-0.024
-0.1,0.232,0.027,0.012
-0.088,0.125,-0.034,0.002
0.01,-0.046,-0.039,-0.034
0,0.042,-0.09,-0.039
-0.176,-0.039,0.034,-0.027
-0.205,0.012,0.054,0.027
-0.024,-0.044,0.049,0.044
0.034,-0.017,0.063,0.02
-0.093,-0.076,0.085,-0.007
-0.142,-0.012,-0.034,-0.002
-0.063,0.09,-0.088,-0.002
0.01,-0.11,0.056,0.061
-0.027,-0.161,0.142,0.071
-0.068,-0.042,0.156,0.01
-0.054,0.022,-0.007,-0.007
-0.005,-0.044,-0.032,-0.02
0.01,0.042,0.049,0.042
0,-0.032,-0.022,0.007
0.037,-0.117,-0.042,-0.056
0.081,-0.002,0.149,-0.083
0.083,0.146,0.154,-0.093
0.027,0.051,0.154,0.005
-0.032,-0.054,0.015,-0.071
-0.117,0.029,0.029,-0.105
-0.066,0.137,0.02,-0.071
-0.022,0.068,0.051,0.01
0.027,-0.037,0.078,-0.032
-0.017,0.044,-0.054,-0.005
-0.081,0.068,0.2,-0.007
-0.02,0.054,0.039,-0.027
0.054,0.022,-0.051,0.032
0.068,0.076,0.081,0.134
0.017,0.015,0.107,0.112
-0.073,-0.022,-0.144,-0.044
0.02,0.1,-0.088,-0.029
0.088,0.195,-0.012,0.02
0.029,0.068,0.044,0.078
-0.007,-0.078,-0.107,0.022
-0.029,0.093,-0.051,-0.024
-0.054,0.203,0.127,0.024
0.051,0.098,0.085,-0.022
0.076,-0.073,-0.063,-0.061
0.02,0.01,0.12,-0.076
-0.112,0.068,0,-0.007
-0.12,-0.034,-0.02,0
-0.051,-0.142,0.142,-0.02
-0.073,-0.129,-0.068,-0.068
-0.107,0.059,0.11,-0.017
-0.093,-0.015,0.107,0.005
-0.159,-0.037,0.015,-0.054
-0.098,-0.044,-0.042,-0.015
0.017,-0.164,0.107,-0.061
0.029,-0.105,-0.117,-0.068
0,0.012,-0.061,-0.037
0.029,0.256,-0.022,-0.012
0.117,0.081,0.142,-0.039
-0.034,-0.144,-0.049,-0.078
-0.1,-0.017,-0.237,-0.137
-0.083,0.188,-0.1,-0.12
-0.037,0.032,0.051,-0.081
-0.002,0.107,-0.081,-0.046
0.059,0.073,-0.022,-0.056
0.029,0.068,0.125,-0.027
-0.125,-0.022,-0.054,-0.049
-0.056,-0.02,-0.061,-0.061
-0.046,0.044,0.095,0.002
-0.068,0.134,0.103,0.049
-0.039,0,0.015,0.046
-0.063,-0.012,-0.017,0.049
-0.132,0.068,0.159,0.059
-0.083,-0.024,0.144,0.027
-0.054,-0.093,0,-0.005
0.022,0.005,-0.024,0.044
-0.044,0.081,0.103,0.027
0,-0.005,-0.083,0.103
0.076,0.132,0.005,0.059
-0.051,-0.034,0.081,-0.01
0.059,0.073,0.11,-0.044
0.042,0.032,-0.12,0.015
-0.098,0.02,-0.107,-0.042
-0.078,0.205,0.015,-0.061
0.042,0.005,0.005,-0.015
0.098,-0.01,0.017,-0.017
-0.034,0.076,-0.09,-0.012
-0.088,-0.044,0.049,-0.027
-0.029,-0.139,0.144,0.005
-0.012,0.02,-0.413,-0.007
0.059,-0.056,-0.317,0.032
-0.068,-0.137,0.11,0.029
-0.09,-0.156,-0.066,0.056
-0.127,-0.09,-0.034,-0.054
-0.112,-0.017,0.095,0.005
-0.054,-0.083,-0.029,0.024
-0.132,-0.02,-0.063,-0.002
-0.073,-0.122,0.107,-0.063
0.11,0.051,0.073,-0.071
0.002,0.088,-0.095,-0.061
-0.103,0.195,-0.146,-0.083
0.071,0.205,-0.005,0.017
0.142,-0.156,-0.022,-0.005
0.024,0.029,-0.303,-0.056
-0.132,0.129,-0.161,-0.034
-0.137,0.107,0.044,-0.073
-0.032,-0.02,0.239,0.078
0.046,0.105,0.042,0.056
-0.002,0.1,-0.093,-0.027
-0.095,0.027,0.022,-0.081
-0.127,0.088,0.098,-0.034
-0.083,-0.044,0.024,-0.024
-0.022,-0.059,-0.083,0.127
-0.144,0.01,0.225,0.112
-0.186,0.066,-0.007,0.051
-0.081,0.037,-0.02,-0.002
0.024,-0.054,0.024,-0.012
-0.017,-0.034,0.151,-0.012
-0.105,0.132,0,0.022
0,0.049,0.122,0.083
0.081,0.071,0.061,0.007
0.017,0.061,-0.144,-0.042
0.024,0.1,-0.044,-0.073
0.056,0.049,-0.229,0.015
0.129,0.134,-0.149,0.005
0.151,0.056,0.125,-0.059
-0.005,0.042,0.146,-0.061
-0.042,0.034,-0.005,-0.027
0.054,0.034,0.159,-0.042
0.012,-0.044,-0.032,0.002
-0.039,-0.073,-0.039,0.01
-0.093,0.02,0.037,0.051
-0.098,-0.105,0.181,0.007
0.017,-0.049,0.066,-0.051
-0.007,0.022,0,-0.073
-0.056,-0.073,0.103,-0.002
-0.139,-0.049,0.11,0.051
-0.01,-0.134,0.042,0.107
0.066,0.3,-0.1,-0.012
-0.068,0.027,0.039,-0.076
-0.081,-0.159,-0.154,-0.203
0.137,0.024,0.02,-0.093
0.093,0.012,0.115,0.054
-0.066,0.293,-0.024,0.012
-0.029,0.21,-0.317,-0.122
0.039,0.137,0.129,-0.173
-0.005,-0.002,0.315,-0.122
-0.034,-0.093,-0.022,0.051
-0.044,0.083,-0.037,0.088
-0.061,0.156,0.068,-0.042
-0.027,0.081,0.181,-0.085
-0.046,0.061,0.107,-0.056
-0.046,-0.005,0.073,0.054
-0.134,0.098,0.02,0.061
-0.056,0.068,0.095,0.1
-0.056,-0.203,0.02,0
-0.032,-0.059,0.039,-0.078
0.098,0.1,-0.056,-0.02
-0.002,0.022,-0.029,0.081
0.005,0.01,0.103,0.085
0.049,-0.071,0.02,-0.012
0.029,-0.059,-0.068,-0.105
0.007,0.142,0.237,-0.115
-0.007,-0.09,-0.105,-0.037
0.295,-0.042,-0.183,0.017
0.215,0.129,-0.12,0.042
0.037,0.093,0.344,-0.056
-0.02,-0.007,0.146,-0.024
-0.049,-0.083,-0.046,-0.024
-0.034,-0.2,0.098,-0.029
-0.042,-0.303,-0.002,-0.042
-0.076,-0.154,-0.032,0.051
-0.02,-0.122,-0.015,-0.029
-0.005,0.09,-0.007,-0.037
-0.085,-0.071,-0.115,-0.029
-0.142,-0.09,0.095,0.049
-0.032,-0.015,0,0.063
0.039,-0.061,-0.098,0.005
0.051,-0.02,-0.078,-0.007
-0.015,0.168,-0.181,-0.029
-0.059,0.085,-0.181,0.024
-0.046,0.01,-0.2,0.002
0.007,0.007,-0.029,0.051
0.005,0.19,-0.005,-0.049
-0.015,0.217,-0.042,-0.076
-0.049,-0.095,0.02,-0.081
-0.012,0.01,-0.044,-0.059
0.061,0.1,0.073,-0.032
-0.076,0.093,0.154,0.017
-0.02,0.017,0.044,0.044
-0.059,-0.002,0.125,0.044
-0.046,0.078,0.105,-0.027
-0.061,0.017,-0.044,0.029
-0.059,-0.066,-0.046,0.017
0.007,-0.098,-0.063,0.076
-0.039,-0.061,-0.007,0.078
-0.054,0.015,0.054,0.044
-0.046,0.044,0.024,-0.061
0.042,0.012,-0.139,0.022
0.159,0.007,-0.085,0.022
0.054,-0.132,-0.076,0.059
-0.012,0.015,-0.015,0.01
0.039,0.083,-0.149,-0.11
0.027,0.061,-0.063,-0.063
0,0.098,0.022,-0.032
-0.044,-0.039,-0.044,0.073
0.037,-0.007,0.129,-0.049
-0.022,-0.054,0.024,-0.063
-0.056,-0.078,-0.046,-0.115
-0.024,-0.034,-0.046,-0.029
-0.061,-0.149,0.31,0.054
-0.059,-0.09,0.112,0.054
0.005,-0.063,-0.149,0.01
-0.081,0.002,-0.017,-0.059
-0.139,-0.078,0.256,-0.078
-0.076,-0.081,-0.144,0.024
-0.063,-0.137,-0.093,0.11
0.005,-0.005,0.203,0.061
0.034,0.029,0.051,0.012
0.049,0.01,-0.151,-0.02
0.063,0.11,-0.12,-0.054
0.066,-0.012,0.088,-0.022
-0.032,0.129,0.059,0
0.027,0.276,-0.127,0.02
0.188,0.186,-0.137,0.005
0.029,0.093,0.098,0.017
-0.037,0.188,-0.005,-0.005
-0.027,0.144,0.054,0.024
0.005,-0.01,0.056,0
-0.02,-0.068,0.098,0.02
-0.051,0.056,0.029,-0.022
-0.051,0.073,0.022,0.01
-0.198,0.01,0.076,0.027
-0.105,-0.085,0.02,0.063
-0.022,-0.007,0.078,-0.002
-0.024,-0.049,0.005,0.059
-0.024,-0.051,-0.063,0.095
0.046,-0.076,-0.127,0.034
0.02,-0.042,0.132,-0.044
-0.005,-0.039,0.049,-0.002
0.01,-0.01,-0.061,0.015
0.095,0.168,-0.022,0.027
0.02,0.02,0.039,-0.044
0.112,0.034,-0.054,-0.083
0.085,-0.09,-0.2,-0.095
-0.039,-0.032,-0.154,-0.02
-0.095,0.049,-0.022,0.059
0.051,0.032,-0.059,0.066
0.056,-0.027,-0.186,0.027
-0.042,-0.076,-0.039,-0.034
-0.103,-0.017,0.01,-0.071
-0.083,-0.073,-0.063,0.063
0.015,-0.122,-0.134,0.127
-0.002,-0.173,0.073,0.061
-0.088,-0.132,0.076,0.007
-0.051,-0.017,-0.129,0.005
0.032,-0.027,-0.144,-0.032
0.007,-0.027,-0.068,0.039
-0.002,-0.032,0.063,0.103
-0.046,-0.049,-0.1,0.002
0.098,-0.015,-0.073,-0.083
0.146,0.146,-0.037,-0.066
0.11,0.039,-0.042,-0.007
0.054,-0.02,-0.107,-0.01
0.085,0.012,-0.054,-0.01
0.151,0.12,-0.015,-0.061
0.037,0.061,0.083,-0.117
0.002,0.054,-0.061,-0.117
0.037,0.176,-0.103,-0.071
-0.02,-0.039,0.042,0.017
-0.085,-0.005,0.105,-0.012
-0.02,0,0.112,-0.034
-0.042,0.012,-0.051,-0.029
-0.093,0.027,0.01,0.002
-0.11,-0.154,0.105,0.034
-0.049,-0.117,0.063,0.032
-0.02,-0.073,0.051,-0.032
-0.002,-0.005,0.076,-0.044
-0.051,-0.088,-0.1,0.044
-0.071,0.098,0.042,0.049
-0.02,-0.007,0.037,0.002
0.059,0.083,-0.098,-0.073
0.061,0.076,-0.11,-0.068
0.012,-0.046,-0.027,-0.049
0.007,0.027,0,0
0.054,0.054,-0.139,0.012
0.027,0.107,-0.073,-0.007
-0.027,0.007,0.01,-0.085
0.059,0.017,0.098,-0.054
0.073,0.042,-0.198,-0.005
0.02,0.059,-0.061,0.039
-0.095,0.071,0.083,0.054
-0.051,0.01,-0.098,-0.017
0.01,-0.098,-0.042,0.007
-0.071,-0.139,0.103,-0.103
-0.117,-0.129,0.11,0.017
-0.088,-0.103,0.034,0.022
-0.005,-0.195,0.151,0.105
0.029,-0.161,0.156,0.034
-0.032,0.073,-0.012,-0.015
-0.022,-0.017,-0.01,-0.015
0.046,0.059,0.127,-0.034
0.046,0.012,0.027,-0.042
0.02,-0.027,0.029,0.017
0.054,0.203,-0.044,-0.01
0.088,0.273,-0.1,-0.088
0.083,0.02,-0.078,-0.105
0.166,-0.015,-0.046,-0.059
0.046,0.103,0.105,-0.005
0.007,0.154,0.088,0.027
-0.01,0.144,0.015,-0.061
0.042,0.21,0.027,-0.076
0.007,0.076,0.09,-0.01
-0.176,0.022,-0.034,0.103
-0.203,-0.002,-0.129,0.085
-0.022,0.015,-0.198,0.098
0.029,0,0.271,-0.002
-0.027,-0.046,0.217,-0.054
0.027,-0.012,-0.212,-0.002
-0.049,0.046,-0.112,0.146
-0.085,-0.059,0.217,0.149
-0.027,-0.034,0.027,0.012
0.103,-0.085,-0.215,-0.095
0.081,0.166,-0.017,-0.046
-0.061,0.171,0.071,0.027
-0.02,-0.012,-0.063,0.061
0.078,-0.007,-0.105,0.059
0.068,0.11,-0.098,-0.051
0.01,0.029,-0.002,-0.11
-0.039,0.039,-0.032,-0.066
0.037,0.095,-0.256,0.024
0.125,-0.012,0.044,0.051
-0.085,-0.049,0.1,0.012
-0.178,-0.183,-0.083,-0.078
-0.073,-0.071,-0.049,-0.059
0.078,-0.1,0.083,-0.002
0.002,-0.115,-0.049,0.061
0.022,-0.129,-0.112,0.051
0.015,-0.027,-0.044,-0.09
-0.022,-0.186,0.061,-0.066
0.015,-0.039,0.017,-0.005
0.012,-0.122,-0.142,-0.039
0.022,0.088,-0.073,-0.063
0.024,0.044,-0.002,-0.044
0.059,0.098,0.012,-0.093
0.049,-0.051,-0.173,-0.063
-0.005,-0.254,-0.249,-0.022
0.051,0.002,-0.076,0
0.09,0.061,0.061,-0.027
0.015,-0.093,0.034,-0.056
-0.105,-0.034,-0.059,-0.056
-0.144,-0.007,-0.059,-0.032
-0.068,-0.037,0.059,0.049
-0.078,0.032,0.071,0.159
-0.02,-0.051,0.017,0.049
0.024,-0.161,0.093,-0.01
-0.1,-0.173,0.061,-0.039
-0.151,0.002,-0.012,0.046
-0.032,0.132,-0.081,0.146
0.046,0.056,0.015,0.149
0.037,0.098,-0.059,0.02
-0.022,-0.037,0,-0.061
-0.01,0.139,-0.005,-0.042
0.071,0.037,0.037,0.081
0.046,0,0.005,0.11
-0.005,0.078,-0.095,0.034
-0.005,-0.024,-0.027,-0.085
0.012,-0.061,-0.002,-0.073
0.085,0.076,-0.01,0.002
0.051,0.11,0.02,0.039
-0.088,0.063,0.037,0.046
-0.11,-0.044,-0.02,-0.039
-0.037,-0.039,-0.046,-0.044
0.012,-0.146,-0.015,0.024
-0.105,-0.161,0.234,0.056
-0.151,-0.078,0.103,-0.005
0.002,-0.071,-0.037,0.012
-0.005,-0.129,-0.022,0.037
-0.029,-0.1,-0.005,0.059
-0.034,-0.054,0.037,0.085
0.017,0.007,-0.007,0.012
0.007,-0.063,-0.129,-0.059
-0.007,-0.029,-0.022,-0.044
0.066,0.134,-0.007,-0.007
0.063,0.078,-0.007,0.005
0,0.034,0.063,-0.002
0.017,0.007,0.139,-0.042
0.129,0.137,-0.105,-0.127
0.056,0.083,-0.244,-0.012
-0.071,0.09,-0.027,0.054
-0.059,0.081,0.259,-0.054
0.042,0.076,0.071,-0.115
0.027,0.012,-0.066,-0.054
